grupo,clase,n
Belice,411 Latifoliado maduro húmedo,180629
Belice,412 Latifoliado secundario húmedo,53339
Belice,333 Matorrales (barbecho o en descanso),45862
Belice,423 Sabanas de pino,28585
Belice,315 Otros cultivos intensivos no arbóreos,24966
Belice,332 Pastizales naturales y cultivados,21992
Belice,220 Humedales,20429
Belice,430 Manglares,11981
Belice,444 Regeneración forestal,9673
Belice,313 Caña de azúcar,7652
Belice,110 Urbano,4206
Belice,420 Bosque de coníferas,4016
Belice,210 Cuerpos de Agua,3646
Belice,331 Granos básicos y hortalizas  y otros,2419
Belice,443  Árboles fuera de bosque y otras áreas naturales,1940
Belice,312 Bananeras,1920
Belice,410 Bosque latifoliado y mixto,1611
Belice,121 Otros artificializado,773
Belice,212 Cuerpos de agua artificial,752
Belice,"122 Suelo desnudo, arena, rocoso, lava, otros",338
Belice,442 Plantaciones forestales,191
Belice,311 Palma aceitera,6
Costa Rica,332 Pastizales naturales y cultivados,82137
Costa Rica,443  Árboles fuera de bosque y otras áreas naturales,76803
Costa Rica,910 Otras,72992
Costa Rica,410 Bosque latifoliado y mixto,57991
Costa Rica,411 Latifoliado maduro húmedo,57570
Costa Rica,321 Café,34633
Costa Rica,331 Granos básicos y hortalizas  y otros,26173
Costa Rica,110 Urbano,19701
Costa Rica,311 Palma aceitera,16034
Costa Rica,412 Latifoliado secundario húmedo,13208
Costa Rica,314 Piña,10375
Costa Rica,220 Humedales,4858
Costa Rica,442 Plantaciones forestales,1987
Costa Rica,210 Cuerpos de Agua,1558
Costa Rica,"122 Suelo desnudo, arena, rocoso, lava, otros",998
Costa Rica,323 Frutales,712
Costa Rica,430 Manglares,261
Costa Rica,333 Matorrales (barbecho o en descanso),130
Costa Rica,445 Bosque de Palmas,18
Costa Rica,414 Bosque seco o deciduo,2
El Salvador,410 Bosque latifoliado y mixto,339837
El Salvador,315 Otros cultivos intensivos no arbóreos,202959
El Salvador,332 Pastizales naturales y cultivados,182494
El Salvador,321 Café,123475
El Salvador,333 Matorrales (barbecho o en descanso),98746
El Salvador,313 Caña de azúcar,63134
El Salvador,325 Otros sistemas agroforestales o silvopastoriles,44307
El Salvador,331 Granos básicos y hortalizas  y otros,34813
El Salvador,112 Urbano discontinuo,33163
El Salvador,111 Urbano continuo,22507
El Salvador,430 Manglares,20769
El Salvador,323 Frutales,12517
El Salvador,420 Bosque de coníferas,12174
El Salvador,121 Otros artificializado,5281
El Salvador,"122 Suelo desnudo, arena, rocoso, lava, otros",4980
El Salvador,443  Árboles fuera de bosque y otras áreas naturales,4806
El Salvador,442 Plantaciones forestales,4463
El Salvador,210 Cuerpos de Agua,3830
El Salvador,441 Masa arbórea ribereña,913
El Salvador,110 Urbano,324
El Salvador,412 Latifoliado secundario húmedo,117
El Salvador,212 Cuerpos de agua artificial,88
El Salvador,414 Bosque seco o deciduo,32
El Salvador,910 Otras,15
El Salvador,411 Latifoliado maduro húmedo,15
El Salvador,220 Humedales,8
El Salvador,312 Bananeras,5
El Salvador,431 Manglar alto,1
Guatemala,321 Café,86556
Guatemala,313 Caña de azúcar,52843
Guatemala,311 Palma aceitera,29620
Guatemala,324 Hule,22718
Guatemala,312 Bananeras,12362
Guatemala,410 Bosque latifoliado y mixto,9272
Guatemala,331 Granos básicos y hortalizas  y otros,5890
Guatemala,333 Matorrales (barbecho o en descanso),5673
Guatemala,332 Pastizales naturales y cultivados,4920
Guatemala,315 Otros cultivos intensivos no arbóreos,2458
Guatemala,314 Piña,2070
Guatemala,325 Otros sistemas agroforestales o silvopastoriles,1259
Guatemala,413 Bosque Mixto (Lat-Coniferas),894
Guatemala,110 Urbano,681
Guatemala,322 Cacao,558
Guatemala,420 Bosque de coníferas,460
Guatemala,211 Cuerpos de agua natural,342
Guatemala,220 Humedales,324
Guatemala,"122 Suelo desnudo, arena, rocoso, lava, otros",314
Guatemala,112 Urbano discontinuo,273
Guatemala,430 Manglares,271
Guatemala,443  Árboles fuera de bosque y otras áreas naturales,238
Guatemala,111 Urbano continuo,183
Guatemala,210 Cuerpos de Agua,86
Guatemala,411 Latifoliado maduro húmedo,38
Guatemala,323 Frutales,21
Guatemala,422 Coníferas ralo,7
Guatemala,441 Masa arbórea ribereña,4
Guatemala,212 Cuerpos de agua artificial,3
Guatemala,442 Plantaciones forestales,1
Honduras,410 Bosque latifoliado y mixto,93143
Honduras,321 Café,72988
Honduras,420 Bosque de coníferas,61506
Honduras,332 Pastizales naturales y cultivados,47823
Honduras,333 Matorrales (barbecho o en descanso),45211
Honduras,311 Palma aceitera,38250
Honduras,414 Bosque seco o deciduo,30069
Honduras,331 Granos básicos y hortalizas  y otros,20676
Honduras,413 Bosque Mixto (Lat-Coniferas),15948
Honduras,220 Humedales,8809
Honduras,325 Otros sistemas agroforestales o silvopastoriles,6752
Honduras,313 Caña de azúcar,6584
Honduras,110 Urbano,4337
Honduras,430 Manglares,4020
Honduras,210 Cuerpos de Agua,2909
Honduras,421 Coníferas denso,2542
Honduras,315 Otros cultivos intensivos no arbóreos,2118
Honduras,312 Bananeras,1068
Honduras,323 Frutales,612
Honduras,314 Piña,607
Honduras,422 Coníferas ralo,409
Honduras,111 Urbano continuo,375
Honduras,"122 Suelo desnudo, arena, rocoso, lava, otros",330
Honduras,423 Sabanas de pino,251
Honduras,431 Manglar alto,193
Honduras,112 Urbano discontinuo,171
Honduras,121 Otros artificializado,100
Honduras,322 Cacao,62
Honduras,212 Cuerpos de agua artificial,49
Honduras,442 Plantaciones forestales,46
Honduras,211 Cuerpos de agua natural,41
Honduras,443  Árboles fuera de bosque y otras áreas naturales,33
Honduras,432 Manglar bajo,8
México,410 Bosque latifoliado y mixto,5470
México,333 Matorrales (barbecho o en descanso),1193
México,332 Pastizales naturales y cultivados,757
México,315 Otros cultivos intensivos no arbóreos,672
México,414 Bosque seco o deciduo,533
México,430 Manglares,414
México,220 Humedales,310
México,412 Latifoliado secundario húmedo,247
México,413 Bosque Mixto (Lat-Coniferas),236
México,420 Bosque de coníferas,100
México,110 Urbano,30
México,"122 Suelo desnudo, arena, rocoso, lava, otros",22
México,311 Palma aceitera,19
México,210 Cuerpos de Agua,19
México,445 Bosque de Palmas,16
México,423 Sabanas de pino,16
México,211 Cuerpos de agua natural,10
México,442 Plantaciones forestales,8
México,321 Café,8
México,312 Bananeras,5
Nicaragua,410 Bosque latifoliado y mixto,780
Nicaragua,332 Pastizales naturales y cultivados,502
Nicaragua,430 Manglares,126
Nicaragua,331 Granos básicos y hortalizas  y otros,119
Nicaragua,210 Cuerpos de Agua,93
Nicaragua,423 Sabanas de pino,81
Nicaragua,220 Humedales,70
Nicaragua,421 Coníferas denso,51
Nicaragua,443  Árboles fuera de bosque y otras áreas naturales,48
Nicaragua,333 Matorrales (barbecho o en descanso),41
Nicaragua,422 Coníferas ralo,23
Nicaragua,110 Urbano,13
Nicaragua,315 Otros cultivos intensivos no arbóreos,11
Nicaragua,321 Café,8
Nicaragua,445 Bosque de Palmas,3
Nicaragua,311 Palma aceitera,1
Nicaragua,211 Cuerpos de agua natural,1
Nicaragua,"122 Suelo desnudo, arena, rocoso, lava, otros",1
Panamá,315 Otros cultivos intensivos no arbóreos,12948
Panamá,313 Caña de azúcar,5622
Panamá,332 Pastizales naturales y cultivados,5572
Panamá,410 Bosque latifoliado y mixto,3499
Panamá,311 Palma aceitera,3498
Panamá,312 Bananeras,2042
Panamá,411 Latifoliado maduro húmedo,1794
Panamá,430 Manglares,1502
Panamá,412 Latifoliado secundario húmedo,990
Panamá,331 Granos básicos y hortalizas  y otros,640
Panamá,110 Urbano,506
Panamá,314 Piña,414
Panamá,333 Matorrales (barbecho o en descanso),392
Panamá,210 Cuerpos de Agua,150
Panamá,442 Plantaciones forestales,80
Panamá,220 Humedales,74
Panamá,325 Otros sistemas agroforestales o silvopastoriles,71
Panamá,211 Cuerpos de agua natural,12
Panamá,445 Bosque de Palmas,11
Panamá,321 Café,10
Panamá,121 Otros artificializado,10
Panamá,"122 Suelo desnudo, arena, rocoso, lava, otros",4
Panamá,910 Otras,3
Panamá,323 Frutales,3
