subset,nivel,fuente,clase,n_registros,pct_fuente_subset
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,410 Bosque latifoliado y mixto,4474,24.147237
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,420 Bosque de coníferas,2986,16.116149
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,332 Pastizales naturales y cultivados,2612,14.097582
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,333 Matorrales (barbecho o en descanso),2474,13.352763
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,414 Bosque seco o deciduo,1667,8.997193
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,331 Granos básicos y hortalizas  y otros,1170,6.314767
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,413 Bosque Mixto (Lat-Coniferas),868,4.684801
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,220 Humedales,474,2.55829
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,325 Otros sistemas agroforestales o silvopastoriles,436,2.353195
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,321 Café,395,2.131908
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,311 Palma aceitera,389,2.099525
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,110 Urbano,271,1.462651
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,210 Cuerpos de Agua,165,0.890544
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,430 Manglares,98,0.528929
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,323 Frutales,38,0.205095
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,"122 Suelo desnudo, arena, rocoso, lava, otros",8,0.043178
exacto_2020,Nivel_2,FCPF - Malla MRV-REDD+ Honduras,322 Cacao,3,0.016192
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,321 Café,85985,41.548683
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,313 Caña de azúcar,51753,25.00749
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,311 Palma aceitera,29430,14.220826
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,324 Hule,22488,10.866393
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,312 Bananeras,12273,5.930418
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,315 Otros cultivos intensivos no arbóreos,2394,1.156801
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,314 Piña,2069,0.999758
exacto_2020,Nivel_2,MAGA - Cultivos - Mapa Guatemala,322 Cacao,558,0.26963
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,321 Café,24,21.428571
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,331 Granos básicos y hortalizas  y otros,20,17.857143
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,332 Pastizales naturales y cultivados,17,15.178571
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,111 Urbano continuo,10,8.928571
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,112 Urbano discontinuo,9,8.035714
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,313 Caña de azúcar,8,7.142857
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,410 Bosque latifoliado y mixto,7,6.25
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,443  Árboles fuera de bosque y otras áreas naturales,6,5.357143
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,910 Otras,5,4.464286
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,333 Matorrales (barbecho o en descanso),3,2.678571
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,441 Masa arbórea ribereña,2,1.785714
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto El Salvador,323 Frutales,1,0.892857
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,313 Caña de azúcar,57,22.8
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,332 Pastizales naturales y cultivados,46,18.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,430 Manglares,25,10.0
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,220 Humedales,17,6.8
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,333 Matorrales (barbecho o en descanso),16,6.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,112 Urbano discontinuo,15,6.0
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,410 Bosque latifoliado y mixto,11,4.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,331 Granos básicos y hortalizas  y otros,10,4.0
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,111 Urbano continuo,10,4.0
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,323 Frutales,9,3.6
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,325 Otros sistemas agroforestales o silvopastoriles,7,2.8
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,443  Árboles fuera de bosque y otras áreas naturales,6,2.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,321 Café,6,2.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,211 Cuerpos de agua natural,6,2.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,"122 Suelo desnudo, arena, rocoso, lava, otros",4,1.6
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,311 Palma aceitera,2,0.8
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,442 Plantaciones forestales,1,0.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,441 Masa arbórea ribereña,1,0.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Datos de Campo Piloto Guatemala,314 Piña,1,0.4
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,443  Árboles fuera de bosque y otras áreas naturales,1282,27.540279
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,412 Latifoliado secundario húmedo,856,18.388829
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,411 Latifoliado maduro húmedo,548,11.772288
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,332 Pastizales naturales y cultivados,540,11.60043
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,110 Urbano,438,9.409237
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,910 Otras,394,8.464017
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,331 Granos básicos y hortalizas  y otros,315,6.766917
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,321 Café,133,2.857143
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,442 Plantaciones forestales,120,2.577873
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,323 Frutales,15,0.322234
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,"122 Suelo desnudo, arena, rocoso, lava, otros",9,0.19334
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Costa Rica,210 Cuerpos de Agua,5,0.107411
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,321 Café,15931,24.21419
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,331 Granos básicos y hortalizas  y otros,12814,19.476532
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,410 Bosque latifoliado y mixto,10957,16.654
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,332 Pastizales naturales y cultivados,9238,14.041221
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,313 Caña de azúcar,4952,7.526751
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,111 Urbano continuo,2618,3.979207
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,112 Urbano discontinuo,2067,3.141719
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,333 Matorrales (barbecho o en descanso),1626,2.471425
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,443  Árboles fuera de bosque y otras áreas naturales,1622,2.465345
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,323 Frutales,1189,1.807211
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,"122 Suelo desnudo, arena, rocoso, lava, otros",842,1.279791
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,430 Manglares,755,1.147556
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,325 Otros sistemas agroforestales o silvopastoriles,464,0.705253
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,441 Masa arbórea ribereña,336,0.5107
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,210 Cuerpos de Agua,195,0.296389
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,420 Bosque de coníferas,158,0.240151
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto El Salvador,212 Cuerpos de agua artificial,28,0.042558
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,332 Pastizales naturales y cultivados,519,22.893692
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,313 Caña de azúcar,383,16.894574
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,333 Matorrales (barbecho o en descanso),317,13.983238
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,410 Bosque latifoliado y mixto,303,13.365682
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,"122 Suelo desnudo, arena, rocoso, lava, otros",156,6.881341
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,325 Otros sistemas agroforestales o silvopastoriles,142,6.263785
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,331 Granos básicos y hortalizas  y otros,102,4.499338
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,321 Café,87,3.837671
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,220 Humedales,67,2.955448
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,430 Manglares,59,2.602558
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,112 Urbano discontinuo,43,1.89678
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,111 Urbano continuo,32,1.411557
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,211 Cuerpos de agua natural,31,1.367446
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,443  Árboles fuera de bosque y otras áreas naturales,14,0.617556
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,420 Bosque de coníferas,5,0.220556
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,413 Bosque Mixto (Lat-Coniferas),4,0.176445
ventana_2018_2022,Nivel_2,CCAD/GIZ-REDD+Landscape - Malla Piloto Guatemala,311 Palma aceitera,3,0.132333
ventana_2018_2022,Nivel_2,CENAT/PRIAS - Cultivos - Costa Rica,311 Palma aceitera,11849,53.316235
ventana_2018_2022,Nivel_2,CENAT/PRIAS - Cultivos - Costa Rica,314 Piña,10375,46.683765
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",410 Bosque latifoliado y mixto,291,65.100671
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",414 Bosque seco o deciduo,48,10.738255
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",332 Pastizales naturales y cultivados,44,9.8434
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",333 Matorrales (barbecho o en descanso),36,8.053691
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",315 Otros cultivos intensivos no arbóreos,20,4.474273
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",430 Manglares,4,0.894855
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Campeche, México",412 Latifoliado secundario húmedo,4,0.894855
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",333 Matorrales (barbecho o en descanso),147,28.994083
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",410 Bosque latifoliado y mixto,90,17.751479
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",413 Bosque Mixto (Lat-Coniferas),79,15.581854
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",412 Latifoliado secundario húmedo,66,13.017751
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",332 Pastizales naturales y cultivados,56,11.045365
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",420 Bosque de coníferas,44,8.678501
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",315 Otros cultivos intensivos no arbóreos,17,3.353057
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",414 Bosque seco o deciduo,4,0.788955
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Chiapas, , México",220 Humedales,4,0.788955
ventana_2018_2022,Nivel_2,"CONAFOR -Inventario Forestal Estado Quintana Roo, México",410 Bosque latifoliado y mixto,540,76.056338
