subset,nivel,clase,n_registros,n_paises,n_fuentes,n_anios,anio_min,anio_max,pct_subset,pct_acumulado,balance_flag
exacto_2020,Nivel_2,321 Café,86380,4,2,1,2020,2020,38.309724,38.309724,dominante_extrema
exacto_2020,Nivel_2,313 Caña de azúcar,51753,1,1,1,2020,2020,22.952572,61.262296,territorialmente_limitada
exacto_2020,Nivel_2,311 Palma aceitera,29819,4,2,1,2020,2020,13.224794,74.48709,dominante
exacto_2020,Nivel_2,324 Hule,22488,1,1,1,2020,2020,9.973479,84.460569,territorialmente_limitada
exacto_2020,Nivel_2,312 Bananeras,12273,3,1,1,2020,2020,5.443103,89.903672,dependiente_fuente_unica
exacto_2020,Nivel_2,410 Bosque latifoliado y mixto,4474,1,1,1,2020,2020,1.984229,91.887901,territorialmente_limitada
exacto_2020,Nivel_2,420 Bosque de coníferas,2986,1,1,1,2020,2020,1.324298,93.212199,territorialmente_limitada
exacto_2020,Nivel_2,332 Pastizales naturales y cultivados,2612,2,1,1,2020,2020,1.158428,94.370627,dependiente_fuente_unica
exacto_2020,Nivel_2,333 Matorrales (barbecho o en descanso),2474,1,1,1,2020,2020,1.097225,95.467852,territorialmente_limitada
exacto_2020,Nivel_2,315 Otros cultivos intensivos no arbóreos,2394,2,1,1,2020,2020,1.061744,96.529596,dependiente_fuente_unica
exacto_2020,Nivel_2,314 Piña,2069,1,1,1,2020,2020,0.917606,97.447202,territorialmente_limitada
exacto_2020,Nivel_2,414 Bosque seco o deciduo,1667,2,1,1,2020,2020,0.739318,98.18652,dependiente_fuente_unica
exacto_2020,Nivel_2,331 Granos básicos y hortalizas  y otros,1170,1,1,1,2020,2020,0.518898,98.705418,territorialmente_limitada
exacto_2020,Nivel_2,413 Bosque Mixto (Lat-Coniferas),868,1,1,1,2020,2020,0.38496,99.090378,territorialmente_limitada
exacto_2020,Nivel_2,322 Cacao,561,2,2,1,2020,2020,0.248805,99.339183,representacion_media
exacto_2020,Nivel_2,220 Humedales,474,1,1,1,2020,2020,0.21022,99.549403,territorialmente_limitada
exacto_2020,Nivel_2,325 Otros sistemas agroforestales o silvopastoriles,436,1,1,1,2020,2020,0.193367,99.74277,territorialmente_limitada
exacto_2020,Nivel_2,110 Urbano,271,1,1,1,2020,2020,0.120189,99.862959,territorialmente_limitada
exacto_2020,Nivel_2,210 Cuerpos de Agua,165,2,1,1,2020,2020,0.073178,99.936137,dependiente_fuente_unica
exacto_2020,Nivel_2,430 Manglares,98,2,1,1,2020,2020,0.043463,99.9796,baja
exacto_2020,Nivel_2,323 Frutales,38,1,1,1,2020,2020,0.016853,99.996453,baja
exacto_2020,Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",8,1,1,1,2020,2020,0.003548,100.000001,critica_muy_baja
ventana_2018_2022,Nivel_2,410 Bosque latifoliado y mixto,246372,7,13,5,2018,2022,20.601199,20.601199,dominante_extrema
ventana_2018_2022,Nivel_2,321 Café,220151,7,12,5,2018,2022,18.408644,39.009843,dominante
ventana_2018_2022,Nivel_2,332 Pastizales naturales y cultivados,124357,8,15,5,2018,2022,10.398516,49.408359,dominante
ventana_2018_2022,Nivel_2,315 Otros cultivos intensivos no arbóreos,116957,6,10,4,2018,2021,9.779741,59.1881,representacion_media
ventana_2018_2022,Nivel_2,313 Caña de azúcar,104160,5,10,4,2018,2021,8.709678,67.897778,representacion_media
ventana_2018_2022,Nivel_2,311 Palma aceitera,79056,7,8,5,2018,2022,6.610525,74.508303,representacion_media
ventana_2018_2022,Nivel_2,333 Matorrales (barbecho o en descanso),65802,6,13,5,2018,2022,5.502249,80.010552,representacion_media
ventana_2018_2022,Nivel_2,331 Granos básicos y hortalizas  y otros,27587,6,9,5,2018,2022,2.306777,82.317329,representacion_media
ventana_2018_2022,Nivel_2,325 Otros sistemas agroforestales o silvopastoriles,24926,4,6,5,2018,2022,2.084269,84.401598,representacion_media
ventana_2018_2022,Nivel_2,420 Bosque de coníferas,23984,5,7,5,2018,2022,2.0055,86.407098,representacion_media
ventana_2018_2022,Nivel_2,324 Hule,22488,1,1,1,2020,2020,1.880407,88.287505,territorialmente_limitada
ventana_2018_2022,Nivel_2,312 Bananeras,17303,6,5,3,2018,2021,1.446847,89.734352,representacion_media
ventana_2018_2022,Nivel_2,112 Urbano discontinuo,17271,3,5,2,2018,2019,1.444171,91.178523,representacion_media
ventana_2018_2022,Nivel_2,314 Piña,13453,4,6,4,2018,2021,1.124916,92.303439,representacion_media
ventana_2018_2022,Nivel_2,430 Manglares,12314,7,11,5,2018,2022,1.029675,93.333114,representacion_media
ventana_2018_2022,Nivel_2,411 Latifoliado maduro húmedo,11357,5,4,2,2018,2021,0.949653,94.282767,representacion_media
ventana_2018_2022,Nivel_2,111 Urbano continuo,10995,2,5,2,2018,2019,0.919383,95.20215,representacion_media
ventana_2018_2022,Nivel_2,414 Bosque seco o deciduo,8476,3,6,5,2018,2022,0.708748,95.910898,representacion_media
ventana_2018_2022,Nivel_2,220 Humedales,7471,7,9,5,2018,2022,0.624712,96.53561,representacion_media
ventana_2018_2022,Nivel_2,323 Frutales,6672,5,7,5,2018,2022,0.557901,97.093511,representacion_media
ventana_2018_2022,Nivel_2,910 Otras,6152,3,3,3,2018,2021,0.51442,97.607931,representacion_media
ventana_2018_2022,Nivel_2,412 Latifoliado secundario húmedo,4505,5,7,3,2018,2021,0.3767,97.984631,representacion_media
ventana_2018_2022,Nivel_2,413 Bosque Mixto (Lat-Coniferas),4421,3,3,5,2018,2022,0.369676,98.354307,representacion_media
ventana_2018_2022,Nivel_2,442 Plantaciones forestales,3345,7,7,3,2018,2021,0.279703,98.63401,representacion_media
ventana_2018_2022,Nivel_2,210 Cuerpos de Agua,3051,7,6,5,2018,2022,0.255119,98.889129,representacion_media
ventana_2018_2022,Nivel_2,443  Árboles fuera de bosque y otras áreas naturales,3037,4,6,2,2018,2019,0.253949,99.143078,representacion_media
ventana_2018_2022,Nivel_2,121 Otros artificializado,2901,4,3,2,2018,2021,0.242577,99.385655,representacion_media
ventana_2018_2022,Nivel_2,"122 Suelo desnudo, arena, rocoso, lava, otros",2182,6,8,5,2018,2022,0.182455,99.56811,representacion_media
ventana_2018_2022,Nivel_2,110 Urbano,2128,5,5,5,2018,2022,0.17794,99.74605,representacion_media
ventana_2018_2022,Nivel_2,423 Sabanas de pino,1461,1,1,1,2018,2018,0.122166,99.868216,territorialmente_limitada
ventana_2018_2022,Nivel_2,322 Cacao,575,2,2,5,2018,2022,0.048081,99.916297,representacion_media
ventana_2018_2022,Nivel_2,444 Regeneración forestal,542,1,1,1,2018,2018,0.045321,99.961618,territorialmente_limitada
ventana_2018_2022,Nivel_2,441 Masa arbórea ribereña,339,2,3,2,2018,2019,0.028347,99.989965,representacion_media
ventana_2018_2022,Nivel_2,212 Cuerpos de agua artificial,69,2,2,1,2018,2018,0.00577,99.995735,baja
ventana_2018_2022,Nivel_2,211 Cuerpos de agua natural,37,1,2,2,2018,2019,0.003094,99.998829,baja
ventana_2018_2022,Nivel_2,445 Bosque de Palmas,14,2,2,2,2019,2021,0.001171,100.0,critica_muy_baja
